ROI_ID,S2_ID,LUSE,CCOVER,oldtarget_exp01_RECALL,oldtarget_exp01_PRECISION,oldtarget_exp01_BOA,oldtarget_exp02_RECALL,oldtarget_exp02_PRECISION,oldtarget_exp02_BOA,oldtarget_exp03_RECALL,oldtarget_exp03_PRECISION,oldtarget_exp03_BOA,sen2cor_exp01_RECALL,sen2cor_exp01_PRECISION,sen2cor_exp01_BOA,sen2cor_exp02_RECALL,sen2cor_exp02_PRECISION,sen2cor_exp02_BOA,sen2cor_exp03_RECALL,sen2cor_exp03_PRECISION,sen2cor_exp03_BOA,kappamaskl1c_exp01_RECALL,kappamaskl1c_exp01_PRECISION,kappamaskl1c_exp01_BOA,kappamaskl1c_exp02_RECALL,kappamaskl1c_exp02_PRECISION,kappamaskl1c_exp02_BOA,kappamaskl1c_exp03_RECALL,kappamaskl1c_exp03_PRECISION,kappamaskl1c_exp03_BOA,kappamaskl2a_exp01_RECALL,kappamaskl2a_exp01_PRECISION,kappamaskl2a_exp01_BOA,kappamaskl2a_exp02_RECALL,kappamaskl2a_exp02_PRECISION,kappamaskl2a_exp02_BOA,kappamaskl2a_exp03_RECALL,kappamaskl2a_exp03_PRECISION,kappamaskl2a_exp03_BOA,fmask_exp01_RECALL,fmask_exp01_PRECISION,fmask_exp01_BOA,fmask_exp02_RECALL,fmask_exp02_PRECISION,fmask_exp02_BOA,fmask_exp03_RECALL,fmask_exp03_PRECISION,fmask_exp03_BOA,unet_mobilenetv2_exp01_RECALL,unet_mobilenetv2_exp01_PRECISION,unet_mobilenetv2_exp01_BOA,unet_mobilenetv2_exp02_RECALL,unet_mobilenetv2_exp02_PRECISION,unet_mobilenetv2_exp02_BOA,unet_mobilenetv2_exp03_RECALL,unet_mobilenetv2_exp03_PRECISION,unet_mobilenetv2_exp03_BOA,s2cloudless_exp01_RECALL,s2cloudless_exp01_PRECISION,s2cloudless_exp01_BOA,qa60_exp01_RECALL,qa60_exp01_PRECISION,qa60_exp01_BOA,CDFCNN_RGBI_exp01_RECALL,CDFCNN_RGBI_exp01_PRECISION,CDFCNN_RGBI_exp01_BOA,CDFCNN_RGBISWIR_exp01_RECALL,CDFCNN_RGBISWIR_exp01_PRECISION,CDFCNN_RGBISWIR_exp01_BOA
ROI_0001,20190212T142031_20190212T143214_T19FDF,60,0.3170900220394394,0.8799055409484857,1,0.9399527704742429,NA,NA,NA,0.8799055409484857,1,0.9399527704742429,1,0.3583370772794089,0.5842767437785779,NA,NA,NA,1,0.3583370772794089,0.5842767437785779,0.3040096406660822,0.5608452538680919,0.596739713990949,NA,0,NA,0.308720420683611,0.5476689196484484,0.5951641486447405,0.9661968059207323,0.3985709192614575,0.6446179955653094,NA,NA,NA,0.9661968059207323,0.3985709192614575,0.6446179955653094,0.9800491771350667,0.49532744778369064,0.7582027843409792,NA,0,NA,0.9801465576005454,0.4824939329478383,0.746009275725593,0.9976263511539585,0.5077818118734588,0.7743022135526644,NA,NA,NA,0.9976263511539585,0.5077818118734588,0.7743022135526644,0.7883557308403935,0.628036422524558,0.785778450965811,1,0.3170900220394394,0.5,0,NA,0.5,0.002397993962411141,0.6293929712460063,0.5008711818689289
ROI_0001,20190304T142031_20190304T142654_T19FDF,60,0.15324165029469547,1,0.9834774207931829,0.9984797997985222,0.8376286938351002,1,0.91881434691755,0.8661615351292378,1,0.9330807675646189,0.5969724447131127,0.9218591987553482,0.7939073884663481,0.1265946585498507,0.997031637484031,0.5624989462531972,0.20489514977457604,0.9762632826236526,0.5389051621174118,0.6806458112941414,0.9811204298732891,0.8391377420717057,0.4202599162237723,0.8882894511278954,0.5981744250143621,0.49737272771030205,0.9786046878699393,0.6099879089283118,0.9748123520225681,0.6153038999030191,0.9322573240245396,0.07838516073013176,0.9725346276784658,0.5345033433766879,0.3061514271503521,0.9565500733147018,0.4756992682666731,0.6955317112488035,0.9927379925222893,0.847305465158587,0.9682022461189088,0.9293659698211709,0.8282244176526833,0.9737112326920917,0.9860793481219103,0.8115256255550911,0.7291824089466525,0.9667724160961764,0.8623234395550798,0.7453174050361155,0.9276679888838745,0.749556125458937,0.7876522213486928,0.9900125536302175,0.7924754506927645,0.25069266031937937,0.9987957852483693,0.6253189802310274,0.8629791950027706,0.8905234703955919,0.9218897725409287,0.004684902523802328,1,0.5023424512619011,0.051004987154299526,1,0.5255024935771497
ROI_0001,20190316T141049_20190316T142437_T19FDF,60,0.5362145429421686,0.9974590240636899,1,0.9987295120318449,1,0.9987030116509122,0.9998619237069974,0.9984052420885904,1,0.9992026210442952,0.48682363611497026,0.934091128820629,0.7235546300217321,0.005194690849860227,1,0.5025973454249301,0.37570109680288993,0.9535098225471166,0.665254967152365,0.8870381434319731,0.8815113667253244,0.8745931575030336,0.7055094538971187,0.6825674006559053,0.8178705706181124,0.8935309242001801,0.8820574880054832,0.7993890118210745,0.8679052424724488,0.8678115418388058,0.8575282466627462,0.4352314498910436,0.763849184887584,0.7033096168247636,0.7714071840046867,0.862811241081396,0.7344062028391225,0.9082657299367276,0.8849760483661689,0.8858893855495985,0.5236952741520108,0.8594133795694264,0.7527392822901406,0.8581207893509226,0.929139037841457,0.848333214405947,0.9468626505330291,0.8759122629448114,0.8958875911830577,0.9538861130065374,0.7828458912152031,0.9488105968730323,0.9920262104429521,0.8898035838527146,0.8444681482447474,0.653181978506079,0.9782449331608452,0.8181937123343158,0.3394614282732162,1,0.6697307141366081,0.312871158843388,0.999838976812661,0.656406451107308,0.3358047263592062,0.999357340245496,0.66777752754652
ROI_0001,20190525T141059_20190525T142053_T19FDF,60,0.47698210212250225,0.9902409024333007,0.9921758448465979,0.9915596707230856,0.948420422218895,0.9988567824338708,0.974147809284732,0.9894206649677629,1,0.9947103324838815,0.9982682861697565,0.4946093859631538,0.5340113422819499,0,NA,0.5,0.9525194120817336,0.5739710923561133,0.4878878267894788,1,0.4808873945917339,0.507763608454363,0.07287767629884714,0.9253802281368821,0.5361010075811367,1,0.5801004319112556,0.5,1,0.4866692396150029,0.519028958554729,0,NA,0.5,0.9970989999534243,0.5901647737118193,0.5202476652155252,1,0.4770336572052823,0.5001033179832329,0,NA,0.5,0.9998136972447154,0.5800550466506854,0.4999068486223577,1,0.5253789086580363,0.5880638209942142,0,NA,0.5,0.9719547816598245,0.6210403248092171,0.5762952567710087,0.9999514472757876,0.4906999277278756,0.5267240115113145,0.8758749605509115,0.44842257897462456,0.4466715397866141,0.9897877436739846,0.5100155946394469,0.5612867458480916,0.6529451273295193,0.585840618011791,0.615988002323397
ROI_0001,20200308T141731_20200308T143551_T19FDF,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
ROI_0010,20190125T112341_20190125T112624_T28QFG,60,0.35309034626236585,1,1,1,NA,NA,NA,1,1,1,1,0.35309034626236585,0.5,NA,NA,NA,1,0.35309034626236585,0.5,0.019141005039407948,1,0.5095705025197039,NA,0,NA,0.019283114157347587,1,0.5096415570786738,0.009346407372183776,1,0.5046732036860919,NA,NA,NA,0.009346407372183776,1,0.5046732036860919,0.1308715661517945,1,0.5654357830758973,NA,NA,NA,0.1308715661517945,1,0.5654357830758973,0.38265612872899785,0.8940338151912959,0.678950527103607,NA,NA,NA,0.38265612872899785,0.8940338151912959,0.678950527103607,0.9995736726461811,0.3538754469883435,0.501714020962892,1,0.35309034626236585,0.5,0.0804884181068879,1,0.540244209053444,0,NA,0.5
ROI_0010,20190724T112121_20190724T113118_T28QFG,60,0.5402403109452256,1,0.9951085642783,0.997112034588423,0.967402649538338,1,0.983701324769169,0.9950681293667605,1,0.9975340646833802,0.9104139576754354,0.9142219639410832,0.905020184563277,0,NA,0.5,0.7181246245771551,0.9778093454725468,0.8367446847541233,0.20557849763513997,0.9975731521286922,0.6024954151274386,1.0036130068245684e-4,0.03875968992248062,0.4997538999291366,0.15266141865047994,1,0.57633070932524,0.28942028778417617,0.9982995711962147,0.6444205078261014,0,NA,0.5,0.21380923777307065,1,0.6069046188865354,0.5081805581355472,0.9790906713284788,0.7477140879919225,0.5529506222400643,0.738275178217291,0.7531408149645135,0.5577861380713014,0.9627049590309291,0.74930218946281,0.9579755083377391,0.8863534202385045,0.9068221998726013,0.17478924126856688,0.9694945446448452,0.5867399358148474,0.8036419967753153,0.9517153589836389,0.8459872441485351,0.8146835660088879,0.8919586983729662,0.8493641983173769,1,0.5402403109452256,0.5,0.11384907763313944,1,0.5569245388165697,0.30303788062815257,0.9996700370029933,0.65146017357605
ROI_0010,20190813T112121_20190813T113228_T28QFG,60,0.5719022236289037,1,1,1,0.9999842814253603,1,0.9999921407126802,0.9999952782971651,1,0.9999976391485825,0.0564760509958223,1,0.5282380254979111,0,NA,0.5,0.039511209322530105,1,0.519755604661265,0.3591979428895383,0.9766759033270328,0.6738692037009723,7.859287319825837e-5,0.0641025641025641,0.49985255937261736,0.2569597899786579,0.9972512873137748,0.626894036617054,0.29680297498127145,0.9968944099378882,0.6477838807393373,0,NA,0.5,0.2082884771564017,0.9999773314594006,0.6041336661890524,0.20774925929175467,1,0.6038746296458773,0.2540121661767711,0.4304856282799222,0.5723177037614575,0.3197064989517819,0.9910569224689334,0.6533935197061576,0.77404180361614106,0.9802478632478633,0.8766027324485783,0.9381159716436913,0.6763216046234914,0.895992632965536,0.9498224639734073,0.9801018295208166,0.9317335947042306,0.5600294258583104,0.7954961605199835,0.6838483828656814,0.24889146852580504,0.9954113582379616,0.6236793609218754,0.2749158056003617,1,0.6374579028001809,0.2088426054032895,1,0.6044213027016447
ROI_0010,20190907T112119_20190907T112853_T28QFG,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROI_0010,20190922T112111_20190922T113547_T28QFG,60,0.9381042994275921,1,0.9997490806479478,0.998098029433774,0.996196058867548,1,0.998098029433774,1,1,NA,0.876623670513691,0.9998310612637556,0.9371893608243187,0,NA,0.5,0.8225033869716419,1,NA,0.9694953609413894,0.9821559571843009,0.8512667625360477,0.010788226490396607,0.5339506172839507,0.5050834711830288,0.9272621303762144,1,NA,0.9895986339978193,0.9592478114343829,0.676203657233382,0,NA,0.5,0.9677861363820581,1,NA,0.9703758563229031,0.9742319782884382,0.7906880528808329,0.5951608880019955,0.7349453257354074,0.7904994507692917,0.9845144954666687,1,NA,0.9970170133102924,0.962205862498908,0.7017387386331956,0.40646046395609875,0.899903354963413,0.7017387386331956,1,1,NA,0.9936719537534201,0.9598122558312369,0.681545380718067,1,0.9381042994275921,0.5,0.44788413668250743,0.9968863328327044,0.7133409209229449,0.8996317554362361,0.9986800036539691,0.9408049024125555
